"service_id","date","exception_type"
"AF16D826","20221103","1"
"AF16D826","20221104","1"
"AF16D826","20221107","1"
"AF16D826","20221108","1"
"AF16D826","20221109","1"
"AF16D826","20221110","1"
"AF16D826","20221111","1"
"AF16D826","20221114","1"
"AF16D826","20221115","1"
"AF16D826","20221116","1"
"AF16D826","20221117","1"
"AF16D826","20221118","1"
"AF16D826","20221121","1"
"AF16D826","20221122","1"
"AF16D826","20221123","1"
"AF16D826","20221125","1"
"AF16D826","20221128","1"
"AF16D826","20221129","1"
"AF16D826","20221130","1"
"AF16D826","20221201","1"
"AF16D826","20221202","1"
"AF16D826","20221205","1"
"AF16D826","20221206","1"
"AF16D826","20221207","1"
"AF16D826","20221208","1"
"AF16D826","20221209","1"
"AF16D826","20221212","1"
"AF16D826","20221213","1"
"AF16D826","20221214","1"
"AF16D826","20221215","1"
"AF16D826","20221216","1"
"AF16D826","20221219","1"
"AF16D826","20221220","1"
"AF16D826","20221221","1"
"AF16D826","20221222","1"
"AF16D826","20221223","1"
"DB0CFB34","20221105","1"
"DB0CFB34","20221106","1"
"DB0CFB34","20221112","1"
"DB0CFB34","20221113","1"
"DB0CFB34","20221119","1"
"DB0CFB34","20221120","1"
"DB0CFB34","20221124","1"
"DB0CFB34","20221126","1"
"DB0CFB34","20221127","1"
"DB0CFB34","20221203","1"
"DB0CFB34","20221204","1"
"DB0CFB34","20221210","1"
"DB0CFB34","20221211","1"
"DB0CFB34","20221217","1"
"DB0CFB34","20221218","1"
"A43FE2F9","20221107","1"
"A43FE2F9","20221114","1"
"A43FE2F9","20221121","1"
"A43FE2F9","20221125","1"
"A43FE2F9","20221128","1"
"A43FE2F9","20221205","1"
"A43FE2F9","20221212","1"
"A43FE2F9","20221219","1"
"470C541E","20221123","1"
"470C541E","20221223","1"
"6935EE10","20221103","1"
"6935EE10","20221104","1"
"6935EE10","20221107","1"
"6935EE10","20221108","1"
"6935EE10","20221109","1"
"6935EE10","20221110","1"
"6935EE10","20221111","1"
"6935EE10","20221114","1"
"6935EE10","20221115","1"
"6935EE10","20221116","1"
"6935EE10","20221117","1"
"6935EE10","20221118","1"
"6935EE10","20221121","1"
"6935EE10","20221122","1"
"6935EE10","20221123","1"
"6935EE10","20221124","1"
"6935EE10","20221125","1"
"6935EE10","20221128","1"
"6935EE10","20221129","1"
"6935EE10","20221130","1"
"6935EE10","20221201","1"
"6935EE10","20221202","1"
"6935EE10","20221205","1"
"6935EE10","20221206","1"
"6935EE10","20221207","1"
"6935EE10","20221208","1"
"6935EE10","20221209","1"
"6935EE10","20221212","1"
"6935EE10","20221213","1"
"6935EE10","20221214","1"
"6935EE10","20221215","1"
"6935EE10","20221216","1"
"6935EE10","20221219","1"
"6935EE10","20221220","1"
"6935EE10","20221221","1"
"6935EE10","20221222","1"
"6935EE10","20221223","1"
"3D231C72","20221104","1"
"3D231C72","20221111","1"
"3D231C72","20221118","1"
"3D231C72","20221123","1"
"3D231C72","20221125","1"
"3D231C72","20221202","1"
"3D231C72","20221209","1"
"3D231C72","20221216","1"
"3D231C72","20221223","1"
"F3FA9862","20221103","1"
"F3FA9862","20221104","1"
"F3FA9862","20221108","1"
"F3FA9862","20221109","1"
"F3FA9862","20221110","1"
"F3FA9862","20221111","1"
"F3FA9862","20221115","1"
"F3FA9862","20221116","1"
"F3FA9862","20221117","1"
"F3FA9862","20221118","1"
"F3FA9862","20221122","1"
"F3FA9862","20221123","1"
"F3FA9862","20221129","1"
"F3FA9862","20221130","1"
"F3FA9862","20221201","1"
"F3FA9862","20221202","1"
"F3FA9862","20221206","1"
"F3FA9862","20221207","1"
"F3FA9862","20221208","1"
"F3FA9862","20221209","1"
"F3FA9862","20221213","1"
"F3FA9862","20221214","1"
"F3FA9862","20221215","1"
"F3FA9862","20221216","1"
"F3FA9862","20221220","1"
"F3FA9862","20221221","1"
"F3FA9862","20221222","1"
"F3FA9862","20221223","1"
"B10D9255","20221103","1"
"B10D9255","20221104","1"
"B10D9255","20221107","1"
"B10D9255","20221108","1"
"B10D9255","20221109","1"
"B10D9255","20221110","1"
"B10D9255","20221111","1"
"B10D9255","20221114","1"
"B10D9255","20221115","1"
"B10D9255","20221116","1"
"B10D9255","20221117","1"
"B10D9255","20221118","1"
"B10D9255","20221121","1"
"B10D9255","20221122","1"
"B10D9255","20221125","1"
"B10D9255","20221128","1"
"B10D9255","20221129","1"
"B10D9255","20221130","1"
"B10D9255","20221201","1"
"B10D9255","20221202","1"
"B10D9255","20221205","1"
"B10D9255","20221206","1"
"B10D9255","20221207","1"
"B10D9255","20221208","1"
"B10D9255","20221209","1"
"B10D9255","20221212","1"
"B10D9255","20221213","1"
